,c.rand.,block_plot,ID,height_cm,Number_of_leaves
104,TO_07-05,Block5_N_abs,104,0.6,3
105,MLBS_10-03,Block5_N_abs,105,3,5
106,TO_04-05,Block5_N_abs,106,2.2,3
107,MLBS_14-07,Block5_N_abs,107,1.4,4
108,TO_15-03,Block5_N_abs,108,0.5,3
109,PLE_03-07,Block5_N_pres,109,2.7,4
110,TO_15-03,Block5_N_pres,110,2.9,4
111,PLE_01-03,Block5_N_pres,111,3.1,5
112,TO_04-05,Block5_N_pres,112,2.7,4
113,MLBS_10-03,Block5_N_pres,113,4.2,5
114,MLBS_14-07,Block5_N_pres,114,2.1,4
115,MLBS_17-08,Block5_N_pres,115,1.7,5
116,MLBS_02-02,Block5_N_pres,116,3.4,6
117,PLE_02-02,Block5_N_pres,117,1.1,2
118,PLE_04-03,Block5_N_pres,118,NA,NA
119,TO_07-05,Block5_N_pres,119,NA,NA
120,TO_05-10,Block5_N_pres,120,3.1,5
121,TO_04-05,Block6_N_abs,121,3.6,5
122,TO_05-10,Block6_N_abs,122,2.9,5
123,TO_15-03,Block6_N_abs,123,1.3,4
124,PLE_04-03,Block6_N_abs,124,NA,NA
125,PLE_03-07,Block6_N_abs,125,1.2,4
126,MLBS_02-02,Block6_N_abs,126,NA,NA
127,TO_07-05,Block6_N_abs,127,2.7,5
128,MLBS_10-03,Block6_N_abs,128,3.6,4
129,MLBS_17-08,Block6_N_abs,129,NA,NA
130,MLBS_14-07,Block6_N_abs,130,3.6,5
131,PLE_02-02,Block6_N_abs,131,2.1,4
132,PLE_01-03,Block6_N_abs,132,NA,NA
133,TO_05-10,Block6_N_pres,133,1.7,3
134,MLBS_10-03,Block6_N_pres,134,1.2,3
135,PLE_02-02,Block6_N_pres,135,2.1,4
136,TO_15-03,Block6_N_pres,136,2.5,5
137,PLE_04-03,Block6_N_pres,137,2.7,4
138,TO_07-05,Block6_N_pres,138,2.7,5
139,PLE_01-03,Block6_N_pres,139,3.5,5
140,TO_04-05,Block6_N_pres,140,NA,NA
141,MLBS_02-02,Block6_N_pres,141,NA,NA
142,MLBS_14-07,Block6_N_pres,142,2.4,4
143,PLE_03-07,Block6_N_pres,143,3.5,5
144,MLBS_17-08,Block6_N_pres,144,2.4,4
145,PLE_03-07,Block7_N_abs,145,2.3,4
146,MLBS_10-03,Block7_N_abs,146,3.6,4
147,PLE_01-03,Block7_N_abs,147,2.8,4
148,MLBS_14-07,Block7_N_abs,148,1.6,5
149,PLE_02-02,Block7_N_abs,149,2.9,4
150,TO_15-03,Block7_N_abs,150,NA,NA
151,PLE_04-03,Block7_N_abs,151,3,4
152,TO_07-05,Block7_N_abs,152,NA,NA
153,TO_04-05,Block7_N_abs,153,NA,NA
154,MLBS_02-02,Block7_N_abs,154,NA,NA
155,TO_05-10,Block7_N_abs,155,NA,NA
156,MLBS_17-08,Block7_N_abs,156,1.3,4
157,PLE_03-07,Block7_N_pres,157,4.7,4
158,PLE_04-03,Block7_N_pres,158,1.1,4
159,PLE_02-02,Block7_N_pres,159,2.4,5
160,MLBS_10-03,Block7_N_pres,160,NA,NA
161,PLE_01-03,Block7_N_pres,161,3.1,6
162,MLBS_17-08,Block7_N_pres,162,3.3,5
163,TO_07-05,Block7_N_pres,163,NA,NA
164,TO_15-03,Block7_N_pres,164,1.3,3
165,MLBS_02-02,Block7_N_pres,165,NA,NA
166,TO_04-05,Block7_N_pres,166,1.2,3
167,MLBS_14-07,Block7_N_pres,167,2.3,4
168,TO_05-10,Block7_N_pres,168,1.6,4
169,TO_07-05,Block8_N_abs,169,NA,NA
170,MLBS_14-07,Block8_N_abs,170,3.6,6
171,TO_04-05,Block8_N_abs,171,NA,NA
172,MLBS_17-08,Block8_N_abs,172,3.4,5
173,TO_15-03,Block8_N_abs,173,NA,NA
174,PLE_02-02,Block8_N_abs,174,2.9,5
175,PLE_04-03,Block8_N_abs,175,NA,NA
176,PLE_03-07,Block8_N_abs,176,3.7,5
177,MLBS_02-02,Block8_N_abs,177,3.5,5
178,MLBS_10-03,Block8_N_abs,178,3.2,5
179,PLE_01-03,Block8_N_abs,179,NA,NA
180,TO_05-10,Block8_N_abs,180,4.5,5
181,MLBS_02-02,Block8_N_pres,181,NA,NA
182,TO_05-10,Block8_N_pres,182,2.7,4
183,TO_07-05,Block8_N_pres,183,NA,NA
184,MLBS_14-07,Block8_N_pres,184,NA,NA
185,MLBS_10-03,Block8_N_pres,185,4.6,5
186,PLE_02-02,Block8_N_pres,186,3.1,6
187,MLBS_17-08,Block8_N_pres,187,1.5,4
188,TO_15-03,Block8_N_pres,188,3.4,6
189,PLE_04-03,Block8_N_pres,189,NA,NA
190,PLE_01-03,Block8_N_pres,190,1.2,4
191,PLE_03-07,Block8_N_pres,191,3.1,4
192,TO_04-05,Block8_N_pres,192,NA,NA
193,TO_05-10,Block9_N_abs,193,1,3
194,MLBS_02-02,Block9_N_abs,194,1.6,5
195,TO_07-05,Block9_N_abs,195,2.2,5
196,TO_15-03,Block9_N_abs,196,0.9,4
197,MLBS_17-08,Block9_N_abs,197,1.9,5
198,PLE_04-03,Block9_N_abs,198,NA,NA
199,PLE_02-02,Block9_N_abs,199,3.8,5
200,PLE_03-07,Block9_N_abs,200,1.9,4
201,PLE_01-03,Block9_N_abs,201,0.9,4
202,MLBS_14-07,Block9_N_abs,202,1.2,3
203,TO_04-05,Block9_N_abs,203,NA,NA
204,MLBS_10-03,Block9_N_abs,204,3.2,4
205,PLE_02-02,Block9_N_pres,205,1.9,4
206,MLBS_10-03,Block9_N_pres,206,1.4,4
207,MLBS_17-08,Block9_N_pres,207,1.5,5
208,PLE_01-03,Block9_N_pres,208,NA,NA
209,PLE_04-03,Block9_N_pres,209,NA,NA
210,PLE_03-07,Block9_N_pres,210,2.8,4
211,TO_15-03,Block9_N_pres,211,1.7,4
212,TO_04-05,Block9_N_pres,212,NA,NA
213,TO_07-05,Block9_N_pres,213,1.3,5
214,MLBS_02-02,Block9_N_pres,214,2.6,7
215,TO_05-10,Block9_N_pres,215,NA,NA
216,MLBS_14-07,Block9_N_pres,216,1.7,4
217,MLBS_02-02,Block10_N_abs,217,NA,NA
218,TO_07-05,Block10_N_abs,218,NA,NA
219,MLBS_17-08,Block10_N_abs,219,,4
220,TO_04-05,Block10_N_abs,220,NA,NA
221,PLE_01-03,Block10_N_abs,221,1.1,3
222,PLE_03-07,Block10_N_abs,222,4.4,4
223,MLBS_10-03,Block10_N_abs,223,3.4,5
224,MLBS_14-07,Block10_N_abs,224,1.7,4
225,PLE_02-02,Block10_N_abs,225,2.8,5
226,TO_15-03,Block10_N_abs,226,NA,NA
227,TO_05-10,Block10_N_abs,227,1.6,4
228,PLE_04-03,Block10_N_abs,228,NA,NA
229,PLE_02-02,Block10_N_pres,229,2.9,5
230,PLE_03-07,Block10_N_pres,230,2.1,4
231,TO_04-05,Block10_N_pres,231,NA,NA
232,MLBS_17-08,Block10_N_pres,232,2.6,5
233,PLE_04-03,Block10_N_pres,233,NA,NA
234,MLBS_14-07,Block10_N_pres,234,2.3,5
235,TO_05-10,Block10_N_pres,235,NA,NA
236,MLBS_02-02,Block10_N_pres,236,NA,NA
237,MLBS_10-03,Block10_N_pres,237,1.7,4
238,TO_07-05,Block10_N_pres,238,NA,NA
239,PLE_01-03,Block10_N_pres,239,2.6,5
240,TO_15-03,Block10_N_pres,240,2.6,6
